submission,model_id,metric_set,threshold,N_events,CSI,Accuracy,Precision,Recall,F1,CSI_micro,Accuracy_micro,Precision_micro,Recall_micro,F1_micro,CSI_macro,TP,FP,TN,FN
Team 3,TEAM (per-model avg),CSI30,1.0,59,0.8737093629667809,0.988321390051511,0.9263735943291025,0.9387664910355991,0.9299359748209822,0.9386228512865609,0.9876881202860872,0.9647819685074449,0.9719240090809812,0.968339819850619,0.8466977465836715,9290504,339137,39445546,268375
Team 3,TEAM (per-model avg),CSI5,0.167,59,0.9129405628140292,0.954312382963689,0.9525253088249328,0.9550895464480955,0.9532464353645475,0.9434548083207922,0.9596442996960779,0.9752068478407597,0.9666405566948948,0.9709048075431893,0.8805546356466157,33224680,844687,14127588,1146607
Team 4,TEAM (per-model avg),CSI30,1.0,59,0.8877344244211877,0.9869920864542887,0.9674696151238771,0.9154673202025335,0.938853659560786,0.9216716042732741,0.9844043484335403,0.9714917390962895,0.947292355097287,0.9592394478054705,0.8370106470527332,9055053,265719,39518964,503826
Team 4,TEAM (per-model avg),CSI5,0.167,59,0.8482024900753606,0.9216566662363417,0.9499013218378667,0.8888425720565505,0.9107975497590343,0.8861883619324529,0.918666248699273,0.9722676233446826,0.9091695344430949,0.9396605130407316,0.7784662155497024,31249327,891337,14080938,3121960
Team 5,TEAM (per-model avg),CSI30,1.0,59,0.9179257322107137,0.983828891935242,0.9628588242624347,0.9511066679845428,0.956639244247719,0.8896203692715913,0.9776997858403493,0.9558022279622486,0.9277871390567869,0.9415863458484216,0.8692156221889961,8868605,410098,39374585,690274
Team 5,TEAM (per-model avg),CSI5,0.167,59,0.8911481038034959,0.9364395927866925,0.9337919175267371,0.9540630227403193,0.9408460738368186,0.9109726700687331,0.9348840888300687,0.9503040013134129,0.9565415167607777,0.9534125572146123,0.8579524768677615,32877563,1719327,13252948,1493724
Team 6,TEAM (per-model avg),CSI30,1.0,59,0.9592064876018263,0.9921253307428131,0.9817870393369674,0.9766994291190376,0.9789965261152913,0.9588912002966903,0.991899409288693,0.9826736036052462,0.975382050552162,0.9790142506653338,0.9519509731229612,9323559,164392,39620291,235320
Team 6,TEAM (per-model avg),CSI5,0.167,59,0.9728618972261116,0.9845959893750127,0.9861670129211257,0.9863180040502311,0.98617422473146,0.9772981506705257,0.9840161721604127,0.989210462924667,0.987828008884276,0.9885187525605201,0.9592186058661432,33952920,370332,14601943,418367
Team 7,TEAM (per-model avg),CSI30,1.0,59,0.9543719253190206,0.9908096208388846,0.9757397624045199,0.9777783487067158,0.9764203455675975,0.953880264122025,0.9908757904425303,0.9786520224161962,0.9741500023172173,0.9763958228531987,0.9518942533949881,9311782,203124,39581559,247097
Team 7,TEAM (per-model avg),CSI5,0.167,59,0.9548255861969517,0.973911380508839,0.9692745801804049,0.9846844818756282,0.9766928388390541,0.968231011876205,0.9774168107280136,0.9796663685328023,0.9880879060478591,0.9838591161646663,0.9504332379895639,33961853,704901,14267374,409434
Team 8,TEAM (per-model avg),CSI30,1.0,59,0.9564727622093387,0.9901825697983118,0.9760765749340666,0.9796568952659679,0.9774258764171488,0.9468996706558697,0.9894051021286222,0.9701897630976687,0.9752749250199736,0.9727256981217517,0.9542422977439382,9322535,286446,39498237,236344
Team 8,TEAM (per-model avg),CSI5,0.167,59,0.9739842144836712,0.983398625633753,0.9833437721172527,0.9903166427469887,0.9867815698498922,0.9751116836423515,0.9823686624001728,0.98313859513915,0.9916965576529038,0.9873990333995942,0.9661897769406279,34085887,584593,14387682,285400
Team 9,TEAM (per-model avg),CSI30,1.0,59,0.7698979622646398,0.9763680074256723,0.8496757755511686,0.8806036368015302,0.8593500579067481,0.8713442260776079,0.9735166058745415,0.9366752900058166,0.925886288549107,0.9312495413032275,0.7017468620462217,8850435,598341,39186342,708444
Team 9,TEAM (per-model avg),CSI5,0.167,59,0.7439199698800133,0.827705497056598,0.7921523946040784,0.8997453366309793,0.8378499786809865,0.7915110331107791,0.8318645905619866,0.853143125581165,0.9163635042237435,0.8836239559590092,0.6627672214619432,31496593,5421706,9550569,2874694
