submission,model_id,event_id,metric_set,threshold,CSI,Accuracy,Precision,Recall,F1,TP,FP,TN,FN
DualFloodGNN,2,54,CSI5,0.167,0.504489792,0.555774485,0.97848847,0.510147806,0.670645683,99161,2180,22692,95216
DualFloodGNN,2,59,CSI5,0.167,0.712613717,0.747565553,0.961663245,0.73344984,0.832194335,137238,5471,26665,49875
DualFloodGNN,2,60,CSI5,0.167,0.104822315,0.208024714,0.892635489,0.106160772,0.18975416,159073,19133,197752,1339343
DualFloodGNN,2,61,CSI5,0.167,0.243189298,0.288853192,0.974714824,0.244733222,0.391234543,156200,4052,41243,482046
DualFloodGNN,2,62,CSI5,0.167,0.314119194,0.344390461,0.986351207,0.315490529,0.47806804,205237,2840,30168,445296
DualFloodGNN,2,65,CSI5,0.167,0.105085303,0.263401584,0.826578195,0.107454417,0.190184961,148365,31128,303448,1232360
DualFloodGNN,2,66,CSI5,0.167,0.639768519,0.675200343,0.967754771,0.653703417,0.78031565,126472,4214,21565,66998
DualFloodGNN,2,67,CSI5,0.167,0.282506734,0.319647249,0.980713406,0.284085038,0.440553998,183109,3601,35383,461448
DualFloodGNN,2,73,CSI5,0.167,0.103834231,0.267014361,0.816674796,0.106312205,0.18813374,145676,32701,312334,1224590
DualFloodGNN,2,76,CSI5,0.167,0.666516243,0.710133228,0.968590579,0.681240413,0.799891685,127020,4119,28676,59434
DualFloodGNN,2,77,CSI5,0.167,0.103174528,0.282262413,0.799858817,0.105908709,0.187050236,141635,35440,342530,1195696
DualFloodGNN,2,82,CSI5,0.167,0.10521187,0.200238909,0.901915615,0.106429629,0.190392218,161304,17542,182166,1354289
DualFloodGNN,2,84,CSI5,0.167,0.103213381,0.343865013,0.729586635,0.107318855,0.187114085,129533,48010,460299,1077459
DualFloodGNN,2,88,CSI5,0.167,0.104816747,0.189411071,0.911601498,0.105893058,0.189745036,162802,15787,162095,1374617
DualFloodGNN,2,90,CSI5,0.167,0.413772346,0.484745654,0.96713,0.419674202,0.585345084,79736,2710,26544,110259
DualFloodGNN,2,99,CSI5,0.167,0.103969345,0.346883725,0.731091539,0.108103411,0.188355492,129991,47813,465019,1072478
DualFloodGNN,2,4,CSI30,1,0.10738646,0.606940123,0.500348527,0.120285499,0.19394577,81112,80999,959973,593217
DualFloodGNN,2,8,CSI30,1,0.104791154,0.623595509,0.466073422,0.119087236,0.189703101,75578,86581,994076,559066
DualFloodGNN,2,17,CSI30,1,0.10531037,0.59704565,0.499331009,0.117743173,0.190553483,81357,81575,942756,609613
DualFloodGNN,2,18,CSI30,1,0.252436106,0.680883379,0.72388014,0.279333176,0.40311215,23626,9012,125657,60954
DualFloodGNN,2,22,CSI30,1,0.229563132,0.800760779,0.488112203,0.302353132,0.37340601,13016,13650,162550,30033
DualFloodGNN,2,29,CSI30,1,0.404310372,0.744842622,0.786568061,0.454132281,0.57581341,37970,10303,125336,45640
DualFloodGNN,2,31,CSI30,1,0.199704062,0.797718576,0.454889227,0.262531135,0.332922207,11067,13262,163832,31088
DualFloodGNN,2,35,CSI30,1,0.096044889,0.701426747,0.335454002,0.118613218,0.175257217,54415,107798,1148743,404345
DualFloodGNN,2,37,CSI30,1,0.277843526,0.743948661,0.656265192,0.325163718,0.434863143,21599,11313,141511,44826
DualFloodGNN,2,42,CSI30,1,0.171810377,0.698256579,0.513131701,0.205273359,0.293239215,42788,40598,434499,165656
DualFloodGNN,2,44,CSI30,1,0.070786268,0.806679994,0.155341418,0.115080088,0.132213627,25261,137355,1358438,194247
DualFloodGNN,2,51,CSI30,1,0.104462656,0.660821628,0.417045622,0.122324462,0.189164668,67865,94863,1065643,486930
DualFloodGNN,2,52,CSI30,1,0.105056456,0.625764807,0.46233465,0.119677979,0.190137718,75355,87633,998020,554293
DualFloodGNN,2,53,CSI30,1,0.248953975,0.738014769,0.632432073,0.29106919,0.398659966,19040,11066,142769,46374
DualFloodGNN,2,54,CSI30,1,0.2159668,0.680313251,0.708877956,0.236985847,0.355218251,19307,7929,129851,62162
DualFloodGNN,2,59,CSI30,1,0.33926927,0.767647743,0.6892572,0.40053286,0.506648331,26158,11793,142148,39150
DualFloodGNN,2,60,CSI30,1,0.102917346,0.669195669,0.399016832,0.121797115,0.186627486,65098,98048,1082774,469381
DualFloodGNN,2,61,CSI30,1,0.134243541,0.616867167,0.562102903,0.149922469,0.236710259,40608,31635,381046,230252
DualFloodGNN,2,62,CSI30,1,0.156044903,0.595908658,0.635844124,0.171359069,0.269963394,51071,29249,356257,246964
DualFloodGNN,2,65,CSI30,1,0.099896442,0.675699484,0.377642525,0.119583471,0.181646995,61737,101743,1097291,454530
DualFloodGNN,2,66,CSI30,1,0.219962203,0.666789814,0.69779494,0.243122677,0.360604947,20601,8922,125592,64134
DualFloodGNN,2,67,CSI30,1,0.144141417,0.615314956,0.58462818,0.160587303,0.251964338,44285,31464,376308,231484
DualFloodGNN,2,73,CSI30,1,0.078893279,0.798831226,0.180574564,0.12288828,0.146248531,29555,134117,1340681,210948
DualFloodGNN,2,76,CSI30,1,0.320257201,0.760847256,0.692415494,0.373375249,0.485143654,24704,10974,142111,41460
DualFloodGNN,2,77,CSI30,1,0.077702143,0.795497117,0.182156065,0.119333737,0.144199663,29553,132687,1334964,218097
DualFloodGNN,2,82,CSI30,1,0.102418783,0.65219049,0.417556063,0.11948936,0.185807399,68075,94957,1050628,501641
DualFloodGNN,2,84,CSI30,1,0.087605106,0.767585981,0.235851556,0.122325586,0.161097269,38278,124019,1278363,274641
DualFloodGNN,2,88,CSI30,1,0.102799124,0.663083039,0.405847201,0.121010762,0.18643309,66216,96939,1071171,480975
DualFloodGNN,2,90,CSI30,1,0.135975728,0.694762576,0.532080428,0.154444005,0.239399002,10532,9262,141794,57661
DualFloodGNN,2,99,CSI30,1,0.08023094,0.785737314,0.1977742,0.11893791,0.148544051,32059,130040,1315717,237485
