Rank_public,Rank_private,TeamName,SubmissionCount,Score_public,Score_private,pct_diff,abs_pct_diff
26,24,Kush Patel,18,0.07,0.0716,2.285714285714272,2.285714285714272
27,25,Whyme Labs,76,0.0701,0.0729,3.9942938659058647,3.9942938659058647
28,28,techtech69,40,0.0785,0.0917,16.815286624203825,16.815286624203825
29,29,no-magic,5,0.083,0.0937,12.891566265060241,12.891566265060241
30,31,sai charan vadhyar,8,0.0915,0.1119,22.295081967213118,22.295081967213118
31,30,Ahmad,10,0.1001,0.1001,0.0,0.0
32,32,yukanglimofficial,2,0.1054,0.1165,10.531309297912726,10.531309297912726
33,33,WasBornLazy,7,0.114,0.1166,2.280701754385957,2.280701754385957
34,35,Shree Harshini S,30,0.1263,0.13,2.929532858273958,2.929532858273958
35,36,Maxime Brennion,3,0.1347,0.1305,-3.1180400890868465,3.1180400890868465
36,37,Staratnyte,17,0.1352,0.1388,2.662721893491139,2.662721893491139
37,34,jsoels,9,0.1371,0.1255,-8.460977388767322,8.460977388767322
38,39,iwance,28,0.1393,0.1478,6.101938262742268,6.101938262742268
39,38,GS,116,0.1492,0.1396,-6.434316353887398,6.434316353887398
40,41,Radovan Vranik,15,0.1535,0.1505,-1.9543973941368098,1.9543973941368098
41,40,Alishba Naz,23,0.1593,0.1479,-7.156308851224101,7.156308851224101
42,42,xxxxx,5,0.1655,0.1603,-3.1419939577039333,3.1419939577039333
43,43,Guangjian Dong,5,0.1691,0.1651,-2.3654642223536393,2.3654642223536393
44,45,pencil red,24,0.1717,0.1676,-2.387885847408266,2.387885847408266
45,48,Satwika Konda,6,0.1785,0.1788,0.16806722689075335,0.16806722689075335
46,44,Tan Thanh,30,0.1799,0.1672,-7.059477487493061,7.059477487493061
47,46,Gabriele Bellavia,2,0.1851,0.1763,-4.75418692598594,4.75418692598594
48,47,今井大登,4,0.1851,0.1763,-4.75418692598594,4.75418692598594
49,51,Jwearia Hoque Nowrin,7,0.1869,0.1845,-1.2841091492776955,1.2841091492776955
50,49,Kaizen,2,0.1876,0.1797,-4.211087420042639,4.211087420042639
51,50,yasukawatoyoki,13,0.1946,0.1841,-5.3956834532374005,5.3956834532374005
52,54,Kevin Cao,11,0.2269,0.2068,-8.858527985896862,8.858527985896862
53,52,Shubham Mahanti,4,0.231,0.2019,-12.597402597402604,12.597402597402604
54,53,Arpit1Bansal,3,0.2314,0.2031,-12.229904926534136,12.229904926534136
55,55,Arnav Salkade,48,0.2326,0.2185,-6.061908856405847,6.061908856405847
56,56,Hopefrey Mosingi,15,0.2421,0.2339,-3.387030152829414,3.387030152829414
57,57,CoreIQ001,7,0.2428,0.2347,-3.336079077429982,3.336079077429982
58,59,Tô Quốc Thái,8,0.244,0.2409,-1.2704918032786852,1.2704918032786852
59,58,Mitra Pidaparti,4,0.2459,0.2381,-3.1720211468076456,3.1720211468076456
60,60,Broke C,8,0.2474,0.25,1.0509296685529472,1.0509296685529472
61,61,Vaibhavk3773,2,0.281,0.2627,-6.512455516014248,6.512455516014248
62,67,Ganesh Sharma,6,0.2898,0.2918,0.6901311249137342,0.6901311249137342
63,64,Nguyễn Việt Hùng,4,0.2989,0.2834,-5.185680829708937,5.185680829708937
64,62,jw0414,35,0.3072,0.2707,-11.88151041666666,11.88151041666666
65,63,Usama Asif,6,0.3096,0.2824,-8.785529715762275,8.785529715762275
66,71,Alex Li,2,0.3241,0.3076,-5.091021289725398,5.091021289725398
67,75,Gegerout,106,0.3242,0.3237,-0.15422578655151156,0.15422578655151156
68,69,VaibhavKanojia3773,1,0.3267,0.3037,-7.040097949188848,7.040097949188848
69,65,Shubham Mahantiq,1,0.3319,0.2836,-14.552576077131654,14.552576077131654
70,73,Andy Luemba Nguema,2,0.3322,0.3164,-4.756170981336538,4.756170981336538
71,66,OP team,4,0.3355,0.2916,-13.084947839046196,13.084947839046196
72,68,hengck23,7,0.3471,0.3016,-13.108614232209748,13.108614232209748
73,70,Stefan Berger,3,0.3512,0.3052,-13.097949886104779,13.097949886104779
74,72,Vishnu Ram R S,5,0.3517,0.3157,-10.235996588001147,10.235996588001147
75,79,Prachi,14,0.3659,0.3697,1.0385351188849332,1.0385351188849332
76,80,Hiếu Trần Trung,50,0.3676,0.3757,2.2034820457018487,2.2034820457018487
77,74,Wangrevelainapple,3,0.371,0.3229,-12.964959568733148,12.964959568733148
78,78,usarabi,9,0.3715,0.3673,-1.1305518169582722,1.1305518169582722
79,77,Luke Youngs,7,0.3715,0.3587,-3.445491251682363,3.445491251682363
90,89,Birunthaban Rajendram,10,0.3728,0.3812,2.2532188841201615,2.2532188841201615
89,88,Erazm Jurowski,1,0.3728,0.3812,2.2532188841201615,2.2532188841201615
88,86,grifth,6,0.3728,0.3812,2.2532188841201615,2.2532188841201615
87,87,Invincible,3,0.3728,0.3812,2.2532188841201615,2.2532188841201615
86,95,GodGod3,11,0.3728,0.3857,3.46030042918454,3.46030042918454
81,90,Mathurin Ache,2,0.3728,0.3812,2.2532188841201615,2.2532188841201615
84,84,Guangyu Song,8,0.3728,0.3812,2.2532188841201615,2.2532188841201615
83,83,JasoOKA,6,0.3728,0.3812,2.2532188841201615,2.2532188841201615
82,82,Prabhpreet_Singh5,5,0.3728,0.3812,2.2532188841201615,2.2532188841201615
80,91,Simon Makumi,102,0.3728,0.3812,2.2532188841201615,2.2532188841201615
85,85,Zulqar,11,0.3728,0.3812,2.2532188841201615,2.2532188841201615
91,93,Nakanishi,16,0.3733,0.3825,2.4645057594428037,2.4645057594428037
92,92,RORONOA,2,0.3737,0.3819,2.194273481402205,2.194273481402205
93,81,DeepAI,99,0.3738,0.3784,1.2306046013911163,1.2306046013911163
94,94,Adi Kusuma,25,0.379,0.3842,1.3720316622691247,1.3720316622691247
95,76,Chi Yuhan,9,0.384,0.3442,-10.364583333333334,10.364583333333334
96,98,Mattpelor,52,0.401,0.409,1.995012468827918,1.995012468827918
97,96,Zeck Amacy,18,0.4069,0.4024,-1.1059228311624487,1.1059228311624487
98,97,DenseX-391,7,0.4319,0.4051,-6.205140078721924,6.205140078721924
99,100,Ashish Mishra,17,0.4344,0.435,0.13812154696132353,0.13812154696132353
100,101,mindset324,6,0.4664,0.4391,-5.853344768439107,5.853344768439107
101,99,Harsh Rajbhar,6,0.4734,0.4347,-8.174904942965783,8.174904942965783
102,102,Zenith_Patel,3,0.4737,0.4503,-4.939835338822046,4.939835338822046
103,104,Guest_User66,19,0.4755,0.473,-0.5257623554153528,0.5257623554153528
104,106,Timothee Henry,34,0.4809,0.4796,-0.270326471199827,0.270326471199827
105,103,Ray Kagué,17,0.4833,0.4514,-6.600455203807155,6.600455203807155
106,105,[Deleted] d514c76a-253a-4536-8808-8576f8b14b54,9,0.4863,0.4788,-1.5422578655151156,1.5422578655151156
107,108,Alana Monks,10,0.4897,0.4898,0.020420665713700017,0.020420665713700017
108,109,moeuuu,9,0.4968,0.4973,0.10064412238325289,0.10064412238325289
109,110,YutaroAtarashi,1,0.5042,0.5024,-0.35700119000397146,0.35700119000397146
110,111,The Laplacian,29,0.5138,0.5079,-1.1483067341378,1.1483067341378
111,112,Matt Motoki,18,0.5185,0.5176,-0.17357762777242275,0.17357762777242275
112,113,LE ANH CHAU,30,0.5194,0.5204,0.19252984212552965,0.19252984212552965
113,114,eighteen18,4,0.5266,0.5244,-0.4177744018230118,0.4177744018230118
114,118,none00000,12,0.5306,0.5305,-0.018846588767431022,0.018846588767431022
115,117,Cameron Warrennn,2,0.5318,0.5304,-0.26325686348252497,0.26325686348252497
116,115,Toan Nguyen Mau,10,0.5336,0.529,-0.8620689655172298,0.8620689655172298
117,116,JinchengZhang1,20,0.5374,0.5295,-1.4700409378489054,1.4700409378489054
118,119,Husnain Ali,4,0.5399,0.5316,-1.5373217262456167,1.5373217262456167
119,162,Maxim Gerasimov,2,0.5435,0.5505,1.2879484820607188,1.2879484820607188
132,132,MS-05 ざこ,1,0.5436,0.5349,-1.60044150110374,1.60044150110374
133,133,aira666,5,0.5436,0.5349,-1.60044150110374,1.60044150110374
134,134,H.D. SURIYAPPERUMA,34,0.5436,0.5349,-1.60044150110374,1.60044150110374
135,135,Thomas Amo Kyeimiah,3,0.5436,0.5349,-1.60044150110374,1.60044150110374
140,140,ashmeet555,1,0.5436,0.5349,-1.60044150110374,1.60044150110374
137,137,Minh,2,0.5436,0.5349,-1.60044150110374,1.60044150110374
138,138,k.mas,1,0.5436,0.5349,-1.60044150110374,1.60044150110374
131,131,Attique Ansari,1,0.5436,0.5349,-1.60044150110374,1.60044150110374
136,136,Daris Dzakwan Hoesien,2,0.5436,0.5349,-1.60044150110374,1.60044150110374
130,130,Jeki Wan Taufik,1,0.5436,0.5349,-1.60044150110374,1.60044150110374
139,139,supercwk,1,0.5436,0.5349,-1.60044150110374,1.60044150110374
128,128,Charismatic Pizza Party🍕,3,0.5436,0.5349,-1.60044150110374,1.60044150110374
127,127,Rabe,6,0.5436,0.5349,-1.60044150110374,1.60044150110374
126,126,Joycelyn Adjekum,5,0.5436,0.5349,-1.60044150110374,1.60044150110374
125,125,Martin Mbalkam,3,0.5436,0.5349,-1.60044150110374,1.60044150110374
124,124,Musliadi,7,0.5436,0.5349,-1.60044150110374,1.60044150110374
123,123,badboyhalo1801,2,0.5436,0.5349,-1.60044150110374,1.60044150110374
122,122,BhargavaAbhi,5,0.5436,0.5349,-1.60044150110374,1.60044150110374
121,121,prkagrawal,6,0.5436,0.5349,-1.60044150110374,1.60044150110374
129,129,Samyakraj Bayar,2,0.5436,0.5349,-1.60044150110374,1.60044150110374
120,120,Hasan Keskin wattermen,64,0.5436,0.5349,-1.60044150110374,1.60044150110374
141,142,Venkata Subramanian S,9,0.544,0.5391,-0.9007352941176497,0.9007352941176497
142,141,Amit Talmale,2,0.5446,0.5359,-1.5975027543150808,1.5975027543150808
143,144,TAKURU YOSHIOKA,18,0.5483,0.5393,-1.6414371694327936,1.6414371694327936
144,145,Wasiq Ali,10,0.5483,0.5393,-1.6414371694327936,1.6414371694327936
145,143,SwastikR@1001,9,0.5483,0.5393,-1.6414371694327936,1.6414371694327936
159,159,Habibur_Rahman,1,0.5492,0.5403,-1.620538965768394,1.620538965768394
157,157,Suhani Gupta_04,3,0.5492,0.5403,-1.620538965768394,1.620538965768394
156,156,BR BR POTOPIM,5,0.5492,0.5403,-1.620538965768394,1.620538965768394
155,155,Umutcan Çetin,1,0.5492,0.5403,-1.620538965768394,1.620538965768394
154,154,cg,25,0.5492,0.5403,-1.620538965768394,1.620538965768394
153,153,MatsubaraMizuki,3,0.5492,0.5403,-1.620538965768394,1.620538965768394
158,158,Manav Patel,1,0.5492,0.5403,-1.620538965768394,1.620538965768394
151,151,Savan Javia,1,0.5492,0.5403,-1.620538965768394,1.620538965768394
150,150,Nikita Lugovoy,1,0.5492,0.5403,-1.620538965768394,1.620538965768394
149,149,Danielle Lesin,4,0.5492,0.5403,-1.620538965768394,1.620538965768394
148,148,Pineapple,1,0.5492,0.5403,-1.620538965768394,1.620538965768394
147,147,TsaiTang00124,1,0.5492,0.5403,-1.620538965768394,1.620538965768394
146,146,T.Kawahara,8,0.5492,0.5403,-1.620538965768394,1.620538965768394
152,152,lytCNAORevision2018,3,0.5492,0.5403,-1.620538965768394,1.620538965768394
160,161,Wild Goose,9,0.5495,0.5461,-0.6187443130118214,0.6187443130118214
161,160,utsav Lamichhane,3,0.556,0.5425,-2.4280575539568465,2.4280575539568465
162,163,Tân Thái_23344,1,0.5586,0.5534,-0.9308986752595745,0.9308986752595745
163,107,CORE CLOCK,9,0.5594,0.4874,-12.870933142652843,12.870933142652843
164,164,Hiếu Lê Ngọc,1,0.5764,0.5697,-1.1623872310895278,1.1623872310895278
165,165,Panagiotis Niarchos,19,0.5876,0.5717,-2.705922396187887,2.705922396187887
166,170,MOHAMED ROSHAN S,29,0.6043,0.61,0.9432401125268971,0.9432401125268971
167,167,Yonderians,6,0.615,0.5948,-3.2845528455284545,3.2845528455284545
168,166,ENZO_NUM,5,0.6151,0.5843,-5.007315883596154,5.007315883596154
169,168,PetraWLeka,6,0.6321,0.6022,-4.730264198702743,4.730264198702743
170,169,Sai Venkata Ganesh Bandaluppi,5,0.6416,0.6089,-5.096633416458846,5.096633416458846
171,171,kdylky,5,0.6588,0.6336,-3.8251366120218573,3.8251366120218573
172,173,Guohao Li,3,0.6644,0.6578,-0.9933774834436995,0.9933774834436995
173,172,Mohit,5,0.6645,0.6505,-2.106847253574118,2.106847253574118
174,174,EGBE KING-JAMES,11,0.6847,0.6647,-2.920987293705275,2.920987293705275
175,177,R.Matsuzaka,29,0.7527,0.7088,-5.832336920419828,5.832336920419828
176,175,indhiran ,3,0.7549,0.6961,-7.789111140548412,7.789111140548412
177,176,Masry1,11,0.7578,0.7069,-6.7168118237001915,6.7168118237001915
178,179,hm _mahmud,22,0.762,0.7576,-0.5774278215223044,0.5774278215223044
179,180,HM0MAHMUD,29,0.7627,0.7592,-0.458896027271543,0.458896027271543
181,178,Avas Gaire,3,0.8335,0.7502,-9.994001199760053,9.994001199760053
182,182,FRISTY,9,0.8417,0.7933,-5.750267316145894,5.750267316145894
183,181,Recep Barkın Topcu,4,0.8728,0.7667,-12.156278643446376,12.156278643446376
184,185,Swajeet Chikhali,1,0.9078,0.9611,5.8713372989645185,5.8713372989645185
185,183,meharban khan,28,0.9268,0.8808,-4.96331463098834,4.96331463098834
187,186,HyperPlanz,3,0.9652,0.9739,0.9013675922088729,0.9013675922088729
